"Years bp","non-background Pb Flux (µg/m2/a)","11-yr median filtered estimated Lead Emissions (kt/a)"
2203.5,0.317,0.919
2202.5,0.329,0.912
2201.5,0.394,0.919
2200.5,0.866,0.942
2199.5,0.325,0.92
2198.5,0.639,0.92
2197.5,0.357,0.92
2196.5,0.47,0.92
2195.5,,0.873
2194.5,0.355,0.869
2193.5,0.431,0.873
2192.5,0.354,0.869
2191.5,0.207,0.802
2190.5,0.301,0.747
2189.5,0.213,0.756
2188.5,0.472,0.737
2187.5,0.216,0.687
2186.5,0.2,0.53
2185.5,0.308,0.53
2184.5,0.435,0.53
2183.5,0.28,0.53
2182.5,0.212,0.53
2181.5,0.169,0.567
2180.5,0.128,0.567
2179.5,0.236,0.519
2178.5,0.2,0.491
2177.5,0.3,0.452
2176.5,0.231,0.433
2175.5,0.184,0.452
2174.5,-0.063,0.471
2173.5,0.076,0.452
2172.5,0.157,0.418
2171.5,,0.384
2170.5,,0.384
2169.5,,0.384
2168.5,,0.416
2167.5,,0.491
2166.5,,0.562
2165.5,0.272,0.562
2164.5,0.231,0.558
2163.5,0.17,0.487
2162.5,,0.416
2161.5,0.227,0.487
2160.5,,0.558
2159.5,0.086,0.558
2158.5,0.132,0.558
2157.5,0.098,0.941
2156.5,1.983,1.009
2155.5,0.732,1.209
2154.5,0.546,1.078
2153.5,0.44,1.078
2152.5,0.384,1.078
2151.5,1.578,1.078
2150.5,1.256,0.995
2149.5,0.395,0.995
2148.5,0.406,0.968
2147.5,0.321,0.941
2146.5,0.237,0.796
2145.5,0.207,0.796
2144.5,0.455,0.787
2143.5,0.325,0.699
2142.5,0.285,0.688
2141.5,0.281,0.688
2140.5,1.049,0.699
2139.5,0.263,0.742
2138.5,0.12,0.742
2137.5,0.161,0.742
2136.5,0.303,0.796
2135.5,0.36,0.851
2134.5,0.568,0.742
2133.5,0.458,0.839
2132.5,0.347,0.851
2131.5,,0.851
2130.5,,0.851
2129.5,0.231,0.839
2128.5,0.342,0.651
2127.5,0.395,0.651
2126.5,0.265,0.651
2125.5,0.212,0.647
2124.5,0.214,0.643
2123.5,0.121,0.643
2122.5,0.3,0.642
2121.5,0.32,0.625
2120.5,0.262,0.625
2119.5,0.255,0.642
2118.5,0.179,0.642
2117.5,0.262,0.642
2116.5,0.235,0.625
